Timestamp,Sensor ID,Value,Description
20250119130123,108901,34,Valve Open
20250119130124,108902,64,NA
20250119130129,108901,45,Valve Open
20250119130203,108901,41,Valve Closed
20250119130224,108902,60,NA
20250119130228,108911,39,Light OK
20250119130252,108912,24,Fire OK
20250119130342,108901,41,Valve Closed
20250119130358,108911,45,Light OK
20250119130809,108913,56,Door Closed
20250119131023,108902,63,NA
20250119131224,108912,60,NA
20250119131228,108912,39,Light OK
20250119131452,108911,24,Fire OK
20250119131442,108901,41,Valve Closed
